MS609-0001.xml,"Et omnia predictafuit confessus fratri Ferrario inquisitori, et post dictum confessionem non vidit hereticos vel hereticas. Item. Dixit quod credebat hereticos esse bonoshomines et habere bonam fidem et esse veraces et amicos Dei. Et audivit hereticos dicentes quod Deus non fecerat visibilia, sed ipse testis non credidit predicto errori. De baptismo, de hostia sacrata, de matrimonio, de resurrectione carnis, non audivit hereticos loquentes. Et sunt VII anni quod primo credidit hereticos esse bonos, et sunt V anni quod ultimo dimisit ipsam credulitatem . Et non habuitpenitentiam ab fratre Ferrario et abiuravit heresim et iuravit et cetera. Testes: Arnaldus, prior Sancti Saturnini; Arnaldus Cerda; et frater Willelmus Pelisso OrdoPredicatorum; et frater Bernardus de Caucio, inquisitor.",sunt VII anni quod primo credidit hereticos esse bonos,sunt V anni quod ultimo dimisit ipsam credulitatem,1238,1240,Dixit quod credebat hereticos esse bonoshomines et habere bonam fidem et esse veraces et amicos Dei,#pos_bonos_homines #pos_bonam_fidem #pos_veraces #pos_amicos_dei
MS609-0002.xml,"Item. Dixit quod credidit hereticos esse bonos et habere bonam fidem et esseveraces et amicos Dei. Et audivit hereticos dicentes quod deus non fecerat visibilia et quod in matrimonio non est salus, et ipse testis credidit sicit ipsi dicebant. De hostia sacrata, de baptismo, de resurrecione carnis, non audivit hereticos loquentes. Et sunt XII anni quod primo credidit hereticos esse bonos et sunt IIIIor anni ultimo dimsit illam credulitatem. Et sunt confessus fratri Willelmo Arnaldi et fratri Ferrario inquisitorem. Sed non habuit penitentiam, et postea non vidit hereticos.",sunt XII anni,sunt IIIIor anni,1233,1241,credidit hereticos esse bonos et habere bonam fidem et esseveraces et amicos Dei,#pos_bonos_homines #pos_bonam_fidem #pos_veraces #pos_amicos_dei
MS609-0002.xml,credidit hereticos esse bonos et habere bonam fidem et esseveraces et amicos Dei,,,,,,
MS609-0005.xml,"Alibi non vidit hereticos quod recolat. Dixit etiam quod credidit hereticos esse bonos homines et habere bonam fidem et esse veraces et amicos Die. Sed non audivit hereticos loquentes de visibilibus, de baptismo, de hostia sacrata, nec de matrimonio. Audivit tamen clericos exprimentes errores quos dicunt hereticos. Sed ipse testis nunquam dimi credidit predictis erroribus. Et sunt XV anni quod primo credidit hereticos esse bonos et sunt X anni quod non credidit. Et fuit confessus fratri Ferrario sed non habuit penetentiam ab ipso. Et abiuravit et iuravit, et cetera. Testes: predicti.",sunt XV anni quod primo credidit hereticos esse bonos,sunt X anni quod non credidit.,1230,1235,Dixit etiam quod credidit hereticos esse bonos homines et habere bonam fidem et esse veraces et amicos Die.,#pos_bonos_homines #pos_bonam_fidem #pos_amicos_dei #pos_veraces
MS609-0006.xml,"Item. Dixit quod credidit hereticos esse bonos et haberebonam fidem et esse veraces et amicos Dei. Et audivit hereticos dicentes quod Deus non fecerat visibilia, et quod hostiasacrata non est corpus Christi, et quod baptismus aqua nichil valet, et quod in matrimonio non est salus. Et ipse testis credidit sicut ipsi dicebant. Et sunt XIII anni quod primo credidit hereticos et sunt VI anni ultimo dimisit. Et fuit confessus fratri Ferrario sed non habuit ab ipso penitentiam. Et postea non vidit hereticos vel hereticas.",Et sunt XIII anni quod primo credidit hereticos,et sunt VI anni ultimo dimisit,1232,1239,credidit hereticos esse bonos et haberebonam fidem et esse veraces et amicos Dei.,#pos_bonos_homines #pos_bonam_fidem #pos_amicos_dei #pos_veraces
MS609-0011.xml,"Item. Dixit quod credidit hereticos esse bonos et habere bonam fidem et esse veraces et amicos Dei. Et audivit hereticos dicentes quod deus nonvisibilia fecit, et quod baptismus aque nichil valet, et quod hostia sacrata non est corpus Christi, et quodin matrimonio non est salus, et quod mortui non resurgent. Et ipse testis credidit tunc sicut ipsi dicebant. Et sunt XXX anni quod primo credidit hereticos et sunt XIX anni quod ultimo dimisit . Et fuit confessus fratri Ferrerio, sed non habuit ab ipso penitentiam neque vidit hereticos XIX anni sunt. Et abiuravit heresim et iuravit et cetera. Testes: predicti.",sunt XXX anni quod primo credidit hereticos,sunt XIX anni quod ultimo dimisit,1215,1233,quod credidit hereticos esse bonos et habere bonam fidem et esse veraces et amicos Dei,#pos_bonos_homines #pos_bonam_fidem #pos_veraces #pos_amicos_dei
MS609-0011.xml,quod credidit hereticos esse bonos et habere bonam fidem et esse veraces et amicos Dei,,,,,,
MS609-0012.xml,"Itemdixit quod credidit hereticos esse bonos et habere bonam fidem et esse veraces et amicos Dei. Et audivit hereticosdicentes quod Diabolus fecerat visibilia, et quod baptismus aque nichil valet, et quod hostia sacrata non est corpus Christi,et quod in matrimonio non est salus, et quod corpora mortuorum non resurgent. Et ipse credidit sicut hereticos dicebant. Et sunt duo anni quod primo credidit et est annus quod ultimo dimisit.",sunt duo anni quod primo credidit,est annus quod ultimo dimisit,1243,1244,credidit hereticos esse bonos et habere bonam fidem et esse veraces et amicos Dei,#pos_bonos_homines #pos_bonam_fidem #pos_veraces #pos_amicos_dei
MS609-0012.xml,credidit hereticos esse bonos et habere bonam fidem et esse veraces et amicos Dei,,,,,,
MS609-0013.xml,"Predictos hereticos credidit essebonos homines et amicos Dei et posse salvari per ipsos licet sciret quod ecclesia persequereter eos. Et audiviteos dicentes errores de visibilibus quod Deus non fecerat ea, et quod hostia sacrata non est corpus Christi, et quodin baptismo et matrimonio non est salus erat salus, et quod carnis resurrectio non erat. Et ipse credidit tunc sicut ipsidicebant. Et sunt XVI anni quod primo credidit hereticos esse bonos sed non credidit VIII anni sunt . Et fuit confessus fratriWilhelmo Arnaldi et socium suum, inquisitores, apud Tholosam et venit coram eis non citatus et fratri Ferrario apud Sayssac . Et postea non vidit hereticos et credidit dicta confessiones esse veraces.",sunt XVI anni quod primo credidit hereticos esse bonos,non credidit VIII anni sunt,1229,1237,Predictos hereticos credidit essebonos homines et amicos Dei et posse salvari per ipsos licet sciret quod ecclesia persequereter eos,#pos_bonos_homines #pos_amicos_dei #pos_posse_salvari
